Domain,Module/Questionnaire,VariableNameNHANES,VariableName,VariableNamePlots,Description,Type,Values
Diet,DIET24,VTomato,Tomatoes intake past 24 hours,Tomato24Hr,Tomatoes and tomato products (cup eq.) intake in previous 24 hours,Continuous,
Diet,DIET24,VStarchTot,Total starchy vegetables intake past 24 hours,TotStarchVeg24Hr,Total starchy vegetables (white potatoes + other starchy) (cup eq.) intake in previous 24 hours,Continuous,
Diet,DIET24,VStarchPot,White potatoes intake past 24 hours,Potato24Hr,White potatoes (cup eq.) intake in previous 24 hours,Continuous,
Diet,DIET24,VStarchOth,Other starchy vegetables intake past 24 hours,OthStarchVeg24Hr,"Other starchy vegetables, excluding white potatoes (cup eq.) intake in previous 24 hours",Continuous,
Diet,DIET24,VOther,Other vegetables intake past 24 hours,OthVeg24Hr,Other vegetables not in the vegetable components listed above (cup eq.) intake in previous 24 hours,Continuous,
Diet,DIET24,Legume,Legume intake past 24 hours,Legume24Hr,Number of cooked dry beans and peas cup equivalents(cup eq.) intake in previous 24 hours,Continuous,
Diet,DIET24,FTot,Total fruits intake past 24 hours,TotFruit24Hr,Total intact or cut fruits and fruit juices (cup eq.) intake in previous 24 hours,Continuous,
Diet,DIET24,FCitMlB,Citrus and melons and berries intake past 24 hours,IntactFruit24Hr,"Intact fruits (whole or cut) of citrus, melons, and berries (cup eq.) intake in previous 24 hours",Continuous,
Diet,DIET24,FOther,Other fruits intake past 24 hours,OthFruit24Hr,"Intact fruits (whole or cut); excluding citrus, melons, and berries (cup eq.) intake in previous 24 hours",Continuous,
Diet,DIET24,DTot,Total dairy intake past 24 hours,Dairy24Hr,"Total milk, yogurt, cheese, and whey (cup eq.) intake in previous 24 hours",Continuous,
Diet,DIET24,DMilk,Milk intake past 24 hours,Milk24Hr,Fluid milk and calcium fortified soy milk (cup eq.) intake in previous 24 hours,Continuous,
Diet,DIET24,DYogurt,Yogurt intake past 24 hours,Yogurt24Hr,Yogurt (cup eq.) intake in previous 24 hours,Continuous,
Diet,DIET24,DCheese,Cheese intake past 24 hours,Cheese24Hr,Cheese (cup eq.) intake in previous 24 hours,Continuous,
Diet,DIET24,PTot,Total protein intake past 24 hours,TotProtein24Hr,"Total meat, poultry, seafood, organ meats, cured meat, eggs, soy, and nuts and seeds; excludes legumes (oz. eq.) intake in previous 24 hours",Continuous,
Diet,DIET24,Pmps,Total meat intake past 24 hours,TotMeat24Hr,"Total meat, poultry, seafood, organ meats, and cured meat (oz. eq.) intake in previous 24 hours",Continuous,
Diet,DIET24,PMeat,Red meat intake past 24 hours,RedMeat24Hr,"Beef, veal, pork, lamb, game meat; excludes organ meats and cured meat (oz. eq.) intake in previous 24 hours",Continuous,
Diet,DIET24,PFrank,Cured meat intake past 24 hours,CuredMeat24Hr,"Cured/luncheon meat made from beef, pork, or poultry (oz. eq.) intake in previous 24 hours",Continuous,
Diet,DIET24,POrgan,Organ meat intake past 24 hours,OrganMeat24Hr,"Organ meat from beef, veal, pork, lamb, game, and poultry (oz. eq.) intake in previous 24 hours",Continuous,
Diet,DIET24,PPoult,Poultry intake past 24 hours,Poultry24Hr,"Chicken, turkey, Cornish hens, and game birds; excludes organ meats and cured meat (oz. eq.) intake in previous 24 hours",Continuous,
Diet,DIET24,PFishLow,Low n3 fatty acids seafood intake past 24 hours,FishLowFat24Hr,"Seafood (finfish, shellfish and other seafood) low in n-3 fatty acids (oz. eq.) intake in previous 24 hours",Continuous,
Diet,DIET24,PFishHigh,High n3 fatty acids seafood intake past 24 hours,FishHighFat24Hr,"Seafood (finfish, shellfish and other seafood) high in n-3 fatty acids (oz. eq.) intake in previous 24 hours",Continuous,
Diet,DIET24,PEgg,Eggs intake past 24 hours,Eggs24Hr,"Eggs (chicken, duck, goose, quail) and egg substitutes (oz. eq.) intake in previous 24 hours",Continuous,
Diet,DIET24,PSoy,Soy products intake past 24 hours,Soy24Hr,"Soy products, excluding calcium fortified soy milk and immature soybeans (oz. eq.) intake in previous 24 hours",Continuous,
Diet,DIET24,PNut,Nuts intake past 24 hours,Nuts24Hr,"Peanuts, tree nuts, and seeds, excludes coconut (oz. eq.) intake in previous 24 hours",Continuous,
Diet,DIET24,Oils,Oils intake past 24 hours,Oils24Hr,Oils (grams) intake in previous 24 hours,Continuous,
Diet,DIET24,SolidFat,Solid fat intake past 24 hours,SolidFat24Hr,Solid fats (grams) intake in previous 24 hours,Continuous,
Diet,DIET24,AddSugars,Foods added sugars intake past 24 hours,AddedSugar24Hr,Added sugars (tsp. eq.) intake in previous 24 hours,Continuous,
Diet,DIET24,Alcohol,Alcohol intake past 24 hours,Alcohol24Hr,Alcoholic beverages (no. of drinks) intake in previous 24 hours,Continuous,
Other lifestyle behaviors,SMQ,HHSmkNum,Number of smokes in home,NumSmokersinHome,Total number of smokers in home,Continuous,
Other lifestyle behaviors,SMQ,HHSmk,Exposed to secondhand smoke at home,SecondhandSmoke,Lives with someone who smoke tobacco inside the home,Binary,"(0=No, 1=Yes)"
Other lifestyle behaviors,SMQ,Smk5Days,Recent tobacco use,TobaccoUse,Use tobacco/nicotine last 5 days,Binary,"(0=No, 1=Yes)"
Sociodemographic,PUQ,Pesticide,Chemical use in lawn/garden,Pesticide,Chemical products used to kill weeds in the past 7 days,Binary,"(0=No, 1=Yes)"
,,WTINT2YR,,,,Survey,
,,WTINT4YR,,,,Survey,
,,WTMEC2YR,,,,Survey,
,,WTMEC4YR,,,,Survey,
,,SDMVPSU,,,,Survey,
,,SDMVSTRA,,,,Survey,
,,cohort,"1=preDM/DM(12-19y), No diabetes dx",,,Binary,"(0=No, 1=Yes)"
